feature_group,model_family,lag_window,epochs,patience,rmse,mae,directional_accuracy,sharpe,n_features,n_rows,n_test_total,status,note,artifact_path
G1_price_only,elastic_net,0,120,5,0.0464261614054295,0.032999633754267774,0.5199432696444791,0.30027690126573203,8,2461082,188259,ok,,artifacts\models\preprocessing_variants\v5_iqrclip_log_cs_z\target_h5\target_h5\target_h5_G1_price_only_elastic_net_lag0_e120_p5.joblib
G1_price_only,ridge,0,120,5,0.04642874548153313,0.03300540553295381,0.51890746259143,0.2518565427179683,8,2461082,188259,ok,,artifacts\models\preprocessing_variants\v5_iqrclip_log_cs_z\target_h5\target_h5\target_h5_G1_price_only_ridge_lag0_e120_p5.joblib
G1_price_only,hist_gbr,0,120,5,0.0464297229405204,0.033000934314363094,0.5191730541434938,0.2607005061912816,8,2461082,188259,ok,,artifacts\models\preprocessing_variants\v5_iqrclip_log_cs_z\target_h5\target_h5\target_h5_G1_price_only_hist_gbr_lag0_e120_p5.joblib
G2_price_technical,elastic_net,0,120,5,0.04642210440403965,0.03299696722013076,0.519980452461768,0.30298464120624297,17,2461082,188259,ok,,artifacts\models\preprocessing_variants\v5_iqrclip_log_cs_z\target_h5\target_h5\target_h5_G2_price_technical_elastic_net_lag0_e120_p5.joblib
G2_price_technical,ridge,0,120,5,0.04642131148065809,0.0330078909790768,0.5161718696051716,0.25769914875497374,17,2461082,188259,ok,,artifacts\models\preprocessing_variants\v5_iqrclip_log_cs_z\target_h5\target_h5\target_h5_G2_price_technical_ridge_lag0_e120_p5.joblib
G2_price_technical,hist_gbr,0,120,5,0.04641785234492466,0.03299272435328105,0.518737483998109,0.22985446717155383,17,2461082,188259,ok,,artifacts\models\preprocessing_variants\v5_iqrclip_log_cs_z\target_h5\target_h5\target_h5_G2_price_technical_hist_gbr_lag0_e120_p5.joblib
G3_plus_panel_breadth,elastic_net,0,120,5,0.046423366154326025,0.032997674651355766,0.519980452461768,0.29769420167345684,22,2461082,188259,ok,,artifacts\models\preprocessing_variants\v5_iqrclip_log_cs_z\target_h5\target_h5\target_h5_G3_plus_panel_breadth_elastic_net_lag0_e120_p5.joblib
G3_plus_panel_breadth,ridge,0,120,5,0.04642179009114345,0.0330089284753582,0.5161718696051716,0.27592138962362384,22,2461082,188259,ok,,artifacts\models\preprocessing_variants\v5_iqrclip_log_cs_z\target_h5\target_h5\target_h5_G3_plus_panel_breadth_ridge_lag0_e120_p5.joblib
G3_plus_panel_breadth,hist_gbr,0,120,5,0.046443368213917036,0.03300876726236125,0.5196404952751262,0.22727963801601114,22,2461082,188259,ok,,artifacts\models\preprocessing_variants\v5_iqrclip_log_cs_z\target_h5\target_h5\target_h5_G3_plus_panel_breadth_hist_gbr_lag0_e120_p5.joblib
