model_name,feature_group,lag_window,hidden_size,lr,epochs,patience,batch_size,target,status,note,rmse,mae,directional_accuracy,sharpe,n_rows,n_features,seq_len,n_test_total,avg_epochs_trained,artifact_path
LSTM,G4_price_plus_sentiment,64,32,0.0005,40,8,64,target_h1,ok,,0.01144901942461729,0.007370030041784048,0.48412698412698413,-1.057979266376626,5286,36,64,252,25.0,artifacts\models\deep_preprocessed_sentiment_seedhunt_h1\target_h1\target_h1_G4_price_plus_sentiment_LSTM_lag64_h32_lr0.0005_e40_p8.pt
GRU,G4_price_plus_sentiment,64,32,0.0005,40,8,64,target_h1,ok,,0.012894740328192711,0.0085229417309165,0.5634920634920635,1.256896728884253,5286,36,64,252,28.0,artifacts\models\deep_preprocessed_sentiment_seedhunt_h1\target_h1\target_h1_G4_price_plus_sentiment_GRU_lag64_h32_lr0.0005_e40_p8.pt
GRU,G5_sentiment_only,64,32,0.0005,40,8,64,target_h1,ok,,0.10114789009094238,0.04480890929698944,0.5,-0.8937461801241762,5286,12,64,252,15.666666666666666,artifacts\models\deep_preprocessed_sentiment_seedhunt_h1\target_h1\target_h1_G5_sentiment_only_GRU_lag64_h32_lr0.0005_e40_p8.pt
LSTM,G5_sentiment_only,64,32,0.0005,40,8,64,target_h1,ok,,0.124864362180233,0.051323700696229935,0.5,-0.8937461801241762,5286,12,64,252,13.666666666666666,artifacts\models\deep_preprocessed_sentiment_seedhunt_h1\target_h1\target_h1_G5_sentiment_only_LSTM_lag64_h32_lr0.0005_e40_p8.pt
