model_name,feature_group,lag_window,hidden_size,lr,epochs,patience,batch_size,target,status,note,rmse,mae,directional_accuracy,sharpe,n_rows,n_features,seq_len,n_test_total,avg_epochs_trained,artifact_path
TFT,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.007834849879145622,0.005746124777942896,0.5873015873015873,1.2701770226898748,4966,8,64,63,13.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_TFT_lag64_h32_lr0.001_e20_p10.pt
TFT,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.007804899010807276,0.0056974575854837894,0.5714285714285714,0.5232286377100563,4966,17,64,63,12.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_TFT_lag64_h32_lr0.001_e20_p10.pt
TFT,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.008008791133761406,0.005837094038724899,0.5873015873015873,0.6876036125792845,4966,24,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_TFT_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.007876347750425339,0.005996168591082096,0.49206349206349204,2.0257822784407433,4966,8,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_PatchTST_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.007907867431640625,0.005667876452207565,0.5873015873015873,0.6219466382041966,4966,17,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_PatchTST_lag64_h32_lr0.001_e20_p10.pt
PatchTST,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.007905304431915283,0.005941072478890419,0.5714285714285714,4.084323268711713,4966,24,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_PatchTST_lag64_h32_lr0.001_e20_p10.pt
MambaStock,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.009031888097524643,0.006870220880955458,0.5873015873015873,0.7824032087920841,4966,8,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_MambaStock_lag64_h32_lr0.001_e20_p10.pt
MambaStock,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.01093387696892023,0.008463611826300621,0.6190476190476191,3.9052584862989144,4966,17,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_MambaStock_lag64_h32_lr0.001_e20_p10.pt
MambaStock,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.00893024168908596,0.006746240891516209,0.4444444444444444,-1.2951583784505765,4966,24,64,63,17.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_MambaStock_lag64_h32_lr0.001_e20_p10.pt
Informer,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.00831933319568634,0.006182023789733648,0.5714285714285714,0.5345701515607276,4966,8,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_Informer_lag64_h32_lr0.001_e20_p10.pt
Informer,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.007739129476249218,0.005957689136266708,0.5714285714285714,3.1569571975125164,4966,17,64,63,19.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_Informer_lag64_h32_lr0.001_e20_p10.pt
Informer,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.011554395779967308,0.00971717294305563,0.42857142857142855,-0.29106549773437435,4966,24,64,63,13.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_Informer_lag64_h32_lr0.001_e20_p10.pt
Autoformer,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.01389272976666689,0.01135537400841713,0.5873015873015873,0.6219466382041966,4966,8,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_Autoformer_lag64_h32_lr0.001_e20_p10.pt
Autoformer,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.011639553122222424,0.009670284576714039,0.4444444444444444,0.5365465080876873,4966,17,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_Autoformer_lag64_h32_lr0.001_e20_p10.pt
Autoformer,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.03219429776072502,0.030336417257785797,0.5873015873015873,0.6219466382041966,4966,24,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_Autoformer_lag64_h32_lr0.001_e20_p10.pt
FEDformer,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.008666383102536201,0.0069492291659116745,0.42857142857142855,-0.7758275882639686,4966,8,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_FEDformer_lag64_h32_lr0.001_e20_p10.pt
FEDformer,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.00928990077227354,0.007629218511283398,0.4126984126984127,-0.6219466382041966,4966,17,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_FEDformer_lag64_h32_lr0.001_e20_p10.pt
FEDformer,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.008216368965804577,0.006161454599350691,0.5238095238095238,1.1430901894914396,4966,24,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_FEDformer_lag64_h32_lr0.001_e20_p10.pt
LSTM,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.08936024457216263,0.08893844485282898,0.5873015873015873,0.6219466382041966,4966,8,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_LSTM_lag64_h32_lr0.001_e20_p10.pt
LSTM,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.0203721784055233,0.019198499619960785,0.4126984126984127,-0.6219466382041966,4966,17,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_LSTM_lag64_h32_lr0.001_e20_p10.pt
LSTM,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.011438676156103611,0.00908705871552229,0.5873015873015873,0.6219466382041966,4966,24,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_LSTM_lag64_h32_lr0.001_e20_p10.pt
GRU,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.008110953494906425,0.005816004239022732,0.5714285714285714,0.7405183180972457,4966,8,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_GRU_lag64_h32_lr0.001_e20_p10.pt
GRU,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.008513633161783218,0.006582571659237146,0.5555555555555556,0.6672787670666839,4966,17,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_GRU_lag64_h32_lr0.001_e20_p10.pt
GRU,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.008006993681192398,0.005856138188391924,0.6507936507936508,3.842783005188128,4966,24,64,63,13.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_GRU_lag64_h32_lr0.001_e20_p10.pt
NBEATS,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.03660153970122337,0.029132358729839325,0.4444444444444444,-1.5061050121699633,4966,8,64,63,15.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_NBEATS_lag64_h32_lr0.001_e20_p10.pt
NBEATS,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.05737585946917534,0.044000059366226196,0.5396825396825397,-0.8648797102379583,4966,17,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_NBEATS_lag64_h32_lr0.001_e20_p10.pt
NBEATS,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.06722643226385117,0.056003399193286896,0.42857142857142855,-1.1171984977330367,4966,24,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_NBEATS_lag64_h32_lr0.001_e20_p10.pt
NHITS,G1_price_only,64,32,0.001,20,10,64,target_h1,ok,,0.011246946640312672,0.008817335590720177,0.3968253968253968,-2.7601465521170447,4966,8,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G1_price_only_NHITS_lag64_h32_lr0.001_e20_p10.pt
NHITS,G2_price_technical,64,32,0.001,20,10,64,target_h1,ok,,0.008881257846951485,0.006832871586084366,0.42857142857142855,-1.4069719137322423,4966,17,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G2_price_technical_NHITS_lag64_h32_lr0.001_e20_p10.pt
NHITS,G3_plus_breadth,64,32,0.001,20,10,64,target_h1,ok,,0.008392918854951859,0.0059737591072916985,0.5396825396825397,0.9271386984630061,4966,24,64,63,20.0,artifacts/models/deep_torch/target_h1/target_h1_G3_plus_breadth_NHITS_lag64_h32_lr0.001_e20_p10.pt
