model,status,model_family,lag_window,epochs,patience,rmse,mae,directional_accuracy,sharpe,n_features,n_rows,n_test_total,note,artifact_path,target
Model_A_price_only,ok,random_forest,30,300,20,0.0105946989546643,0.0075503283330543,0.5373015873015873,0.5955417341691773,248,5030,1260,best configuration on G1,artifacts/models/target_h1/target_h1_G1_price_only_random_forest_lag30_e300_p20.joblib,h1
Model_A_price_only,ok,hist_gbr,10,200,10,0.0227027304057064,0.0169011535377234,0.6031746031746031,1.830367457198803,88,5026,1260,best configuration on G1,artifacts/models/target_h5/target_h5_G1_price_only_hist_gbr_lag10_e200_p10.joblib,h5
