pipeline,model_c_rmse,model_d_rmse,model_e_rmse,model_c_dir_acc,model_c_sharpe,model_c_family,model_c_note,model_family_results,model_set_results,delta_c_vs_d_rmse,delta_c_vs_e_rmse
finbert,0.0175904899573726,0.0184299534616318,0.0184821354226531,0.3833333333333333,-2.4752421315439017,elastic_net,best configuration on sentiment-only features (g5_sent_finbert_*),reports/sentiment_eval_finbert_target_h5/model_family_results.csv,reports/sentiment_eval_finbert_target_h5/model_set_results.csv,-0.0008394635042592025,-0.0008916454652805016
rag,0.0175904899573726,0.0184939960908853,0.0184821354226531,0.3833333333333333,-2.4752421315439017,elastic_net,best configuration on sentiment-only features (g5_sent_rag_*),reports/sentiment_eval_rag_target_h5/model_family_results.csv,reports/sentiment_eval_rag_target_h5/model_set_results.csv,-0.0009035061335127027,-0.0008916454652805016
