pipeline,model_c_rmse,model_d_rmse,model_e_rmse,model_c_dir_acc,model_c_sharpe,model_c_family,model_c_note,model_family_results,model_set_results,delta_c_vs_d_rmse,delta_c_vs_e_rmse
finbert,0.0170163897704569,0.0170655209136318,0.0170655209136318,0.6333333333333333,2.12616262894767,elastic_net,best configuration on sentiment-only features (g5_sent_finbert_*),reports/sentiment_eval_finbert_target_h5/model_family_results.csv,reports/sentiment_eval_finbert_target_h5/model_set_results.csv,-4.913114317489989e-05,-4.913114317489989e-05
rag,0.0170163897704569,0.0170655209136318,0.0170655209136318,0.6333333333333333,2.12616262894767,elastic_net,best configuration on sentiment-only features (g5_sent_rag_*),reports/sentiment_eval_rag_target_h5/model_family_results.csv,reports/sentiment_eval_rag_target_h5/model_set_results.csv,-4.913114317489989e-05,-4.913114317489989e-05
