model_name,feature_group,lag_window,hidden_size,lr,epochs,patience,batch_size,target,status,note,rmse,mae,directional_accuracy,sharpe,n_rows,n_features,seq_len,n_test_total,avg_epochs_trained,artifact_path
LSTM,G4_price_plus_sentiment,64,32,0.0005,40,8,64,target_h1,ok,,0.011004441417753696,0.007284101564437151,0.5158730158730159,-0.3975158298671839,5286,36,64,252,18.666666666666668,artifacts\models\deep_preprocessed_sentiment_seedhunt_h1\target_h1\target_h1_G4_price_plus_sentiment_LSTM_lag64_h32_lr0.0005_e40_p8.pt
GRU,G4_price_plus_sentiment,64,32,0.0005,40,8,64,target_h1,ok,,0.01715446263551712,0.010751201771199703,0.503968253968254,1.863215303282557,5286,36,64,252,25.666666666666668,artifacts\models\deep_preprocessed_sentiment_seedhunt_h1\target_h1\target_h1_G4_price_plus_sentiment_GRU_lag64_h32_lr0.0005_e40_p8.pt
GRU,G5_sentiment_only,64,32,0.0005,40,8,64,target_h1,ok,,0.017634522169828415,0.010968564078211784,0.49206349206349204,-1.0863370415409288,5286,12,64,252,19.333333333333332,artifacts\models\deep_preprocessed_sentiment_seedhunt_h1\target_h1\target_h1_G5_sentiment_only_GRU_lag64_h32_lr0.0005_e40_p8.pt
LSTM,G5_sentiment_only,64,32,0.0005,40,8,64,target_h1,ok,,0.04363061860203743,0.020595381036400795,0.5,-0.8937461801241762,5286,12,64,252,13.333333333333334,artifacts\models\deep_preprocessed_sentiment_seedhunt_h1\target_h1\target_h1_G5_sentiment_only_LSTM_lag64_h32_lr0.0005_e40_p8.pt
