model_name,feature_group,lag_window,hidden_size,lr,epochs,patience,batch_size,target,status,note,rmse,mae,directional_accuracy,sharpe,n_rows,n_features,seq_len,n_test_total,avg_epochs_trained,artifact_path
LSTM,G4_price_plus_sentiment,64,32,0.0005,40,8,64,target_h1,ok,,0.014658232219517231,0.00902489386498928,0.5238095238095238,-0.10023317651910296,5286,36,64,252,26.0,artifacts\models\deep_preprocessed_sentiment_seedhunt_h1\target_h1\target_h1_G4_price_plus_sentiment_LSTM_lag64_h32_lr0.0005_e40_p8.pt
LSTM,G5_sentiment_only,64,32,0.0005,40,8,64,target_h1,ok,,0.0240629930049181,0.012909279204905033,0.49603174603174605,-1.1146581896734042,5286,12,64,252,12.666666666666666,artifacts\models\deep_preprocessed_sentiment_seedhunt_h1\target_h1\target_h1_G5_sentiment_only_LSTM_lag64_h32_lr0.0005_e40_p8.pt
GRU,G4_price_plus_sentiment,64,32,0.0005,40,8,64,target_h1,ok,,0.026433885097503662,0.014443527907133102,0.46825396825396826,-0.9957730890842021,5286,36,64,252,28.666666666666668,artifacts\models\deep_preprocessed_sentiment_seedhunt_h1\target_h1\target_h1_G4_price_plus_sentiment_GRU_lag64_h32_lr0.0005_e40_p8.pt
GRU,G5_sentiment_only,64,32,0.0005,40,8,64,target_h1,ok,,0.06124774366617203,0.023396708071231842,0.5,-0.7772822411426809,5286,12,64,252,16.333333333333332,artifacts\models\deep_preprocessed_sentiment_seedhunt_h1\target_h1\target_h1_G5_sentiment_only_GRU_lag64_h32_lr0.0005_e40_p8.pt
