pipeline,model_c_rmse,model_d_rmse,model_e_rmse,model_c_dir_acc,model_c_sharpe,model_c_family,model_c_note,model_family_results,model_set_results,delta_c_vs_d_rmse,delta_c_vs_e_rmse
finbert,0.0096592356552792,0.0102062550196856,0.0100096360713231,0.4833333333333333,-0.5803911299975251,elastic_net,best configuration on sentiment-only features (g5_sent_finbert_*),reports/sentiment_eval_finbert_target_h1/model_family_results.csv,reports/sentiment_eval_finbert_target_h1/model_set_results.csv,-0.0005470193644064002,-0.00035040041604390143
rag,0.0096592356552792,0.010168622073532,0.0100096360713231,0.4833333333333333,-0.5803911299975251,elastic_net,best configuration on sentiment-only features (g5_sent_rag_*),reports/sentiment_eval_rag_target_h1/model_family_results.csv,reports/sentiment_eval_rag_target_h1/model_set_results.csv,-0.000509386418252801,-0.00035040041604390143
