run_id,status,target,models,lag_window,epochs,patience,max_train_rows,max_test_rows,best_pipeline,best_model_c_rmse,best_model_c_dir_acc,run_report_csv,run_report_md,run_report_json,note,timestamp_utc
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,5,260000,100000,finbert,0.0464257281328487,0.5200282589411396,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000\comparison.csv,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000\comparison.md,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_5__tr_260000__te_100000\comparison.json",2026-04-13T07:06:51.725920+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,10,180000,70000,finbert,0.0464280172714623,0.5200282589411396,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000\comparison.csv,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000\comparison.md,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_70000\comparison.json",2026-04-13T07:12:57.424630+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,10,180000,100000,finbert,0.0464280172714623,0.5200282589411396,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000\comparison.csv,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000\comparison.md,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_180000__te_100000\comparison.json",2026-04-13T07:19:07.800812+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,10,260000,70000,finbert,0.0464257281328487,0.5200282589411396,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000\comparison.csv,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000\comparison.md,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_70000\comparison.json",2026-04-13T07:25:56.625173+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,10,260000,100000,finbert,0.0464257281328487,0.5200282589411396,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000\comparison.csv,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000\comparison.md,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_10__tr_260000__te_100000\comparison.json",2026-04-13T07:32:55.066426+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,20,180000,70000,finbert,0.0464280172714623,0.5200282589411396,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000\comparison.csv,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000\comparison.md,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_70000\comparison.json",2026-04-13T07:38:51.354769+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_100000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,20,180000,100000,finbert,0.0464280172714623,0.5200282589411396,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_100000\comparison.csv,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_100000\comparison.md,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_180000__te_100000\comparison.json",2026-04-13T07:44:58.589899+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_70000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,20,260000,70000,finbert,0.0464257281328487,0.5200282589411396,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_70000\comparison.csv,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_70000\comparison.md,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_70000\comparison.json",2026-04-13T07:51:46.485729+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_100000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,120,20,260000,100000,finbert,0.0464257281328487,0.5200282589411396,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_100000\comparison.csv,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_100000\comparison.md,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_100000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_100000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_100000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_120__p_20__tr_260000__te_100000\comparison.json",2026-04-13T07:58:54.687882+00:00
target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_70000,ok,target_h5,"elastic_net,ridge,hist_gbr",0,150,5,180000,70000,finbert,0.0464280172714623,0.5200282589411396,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_70000\comparison.csv,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_70000\comparison.md,reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_70000\comparison.json,"Comparison CSV: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_70000\comparison.csv
Comparison MD: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_70000\comparison.md
Comparison JSON: reports\sentiment_exhaustive_runs\target_h5\target_h5__m_elastic_net-ridge-hist_gbr__lag_0__e_150__p_5__tr_180000__te_70000\comparison.json",2026-04-13T08:04:39.464034+00:00
