pipeline,track,model_c_rmse,model_d_rmse,model_e_rmse,model_c_dir_acc,model_c_sharpe,model_c_family,model_c_note,model_family_results,model_set_results,delta_c_vs_d_rmse,delta_c_vs_e_rmse
finbert,baseline,0.0203874207880544,0.0203789438579945,0.0203649085734735,0.5125385771729373,0.1417613000865053,hist_gbr,Phase 8 baseline if using FinBERT prefix; challenger if using RAG prefix.,reports\sentiment_eval_finbert_target_h1\model_family_results.csv,reports\sentiment_eval_finbert_target_h1\model_set_results.csv,8.476930059900939e-06,2.2512214580900497e-05
rag,challenger,0.0203874207880544,0.0203789103113037,0.0203649085734735,0.5125385771729373,0.1417613000865053,hist_gbr,Phase 8 baseline if using FinBERT prefix; challenger if using RAG prefix.,reports\sentiment_eval_rag_target_h1\model_family_results.csv,reports\sentiment_eval_rag_target_h1\model_set_results.csv,8.510476750697715e-06,2.2512214580900497e-05
