target,pipeline,model_c_rmse,model_c_dir_acc,model_c_sharpe,delta_c_vs_d_rmse,delta_c_vs_e_rmse
h1,finbert,0.0096592356552792,0.4833333333333333,-0.5803911299975251,-0.0005470193644064,-0.0003504004160439
h1,rag,0.0096592356552792,0.4833333333333333,-0.5803911299975251,-0.0005093864182528,-0.0003504004160439
h5,finbert,0.0175904899573726,0.3833333333333333,-2.4752421315439017,-0.0008394635042592,-0.0008916454652805
h5,rag,0.0175904899573726,0.3833333333333333,-2.4752421315439017,-0.0009035061335127,-0.0008916454652805
