feature_group,model_family,lag_window,epochs,patience,rmse,mae,directional_accuracy,sharpe,n_features,n_rows,n_test_total,status,note,artifact_path
G1_price_only,elastic_net,0,120,5,0.020380290707525135,0.014005563783055027,0.5126395019627216,0.15768266213721274,8,2461082,188259,ok,,artifacts\models\preprocessing_variants\v4_hampel_ranknorm\target_h1\target_h1\target_h1_G1_price_only_elastic_net_lag0_e120_p5.joblib
G1_price_only,ridge,0,120,5,0.020371563069747942,0.013999990871798068,0.5168039774990837,0.5366168392244448,8,2461082,188259,ok,,artifacts\models\preprocessing_variants\v4_hampel_ranknorm\target_h1\target_h1\target_h1_G1_price_only_ridge_lag0_e120_p5.joblib
G1_price_only,hist_gbr,0,120,5,0.020382867088194007,0.0140071448442134,0.5121030070275525,0.12721348865197796,8,2461082,188259,ok,,artifacts\models\preprocessing_variants\v4_hampel_ranknorm\target_h1\target_h1\target_h1_G1_price_only_hist_gbr_lag0_e120_p5.joblib
G2_price_technical,elastic_net,0,120,5,0.020380290707525135,0.014005563783055027,0.5126395019627216,0.15768266213721274,17,2461082,188259,ok,,artifacts\models\preprocessing_variants\v4_hampel_ranknorm\target_h1\target_h1\target_h1_G2_price_technical_elastic_net_lag0_e120_p5.joblib
G2_price_technical,ridge,0,120,5,0.02037259593854223,0.01400264111187628,0.5162834180570385,0.5363089358091557,17,2461082,188259,ok,,artifacts\models\preprocessing_variants\v4_hampel_ranknorm\target_h1\target_h1\target_h1_G2_price_technical_ridge_lag0_e120_p5.joblib
G2_price_technical,hist_gbr,0,120,5,0.020375498813137407,0.014003105858572742,0.515645998332085,0.31320642336306753,17,2461082,188259,ok,,artifacts\models\preprocessing_variants\v4_hampel_ranknorm\target_h1\target_h1\target_h1_G2_price_technical_hist_gbr_lag0_e120_p5.joblib
G3_plus_panel_breadth,elastic_net,0,120,5,0.020380199841627086,0.014005552824241875,0.5126554374558454,0.16230273472905535,22,2461082,188259,ok,,artifacts\models\preprocessing_variants\v4_hampel_ranknorm\target_h1\target_h1\target_h1_G3_plus_panel_breadth_elastic_net_lag0_e120_p5.joblib
G3_plus_panel_breadth,ridge,0,120,5,0.020372442059731266,0.014003521241638728,0.5161718696051716,0.552405112950753,22,2461082,188259,ok,,artifacts\models\preprocessing_variants\v4_hampel_ranknorm\target_h1\target_h1\target_h1_G3_plus_panel_breadth_ridge_lag0_e120_p5.joblib
G3_plus_panel_breadth,hist_gbr,0,120,5,0.020376772012702975,0.014004178017653445,0.516235611577667,0.37021142990777556,22,2461082,188259,ok,,artifacts\models\preprocessing_variants\v4_hampel_ranknorm\target_h1\target_h1\target_h1_G3_plus_panel_breadth_hist_gbr_lag0_e120_p5.joblib
