feature_group,best_model_family,lag_window,epochs,patience,rmse,mae,directional_accuracy,sharpe,n_features,n_rows,n_test_total,artifact_path
G1_price_only,elastic_net,0,120,5,0.04641140305789018,0.03297816924427185,0.5170058270786523,0.2515920962189338,8,2461082,188259,artifacts\models\preprocessing_variants\v1_winsor_robustz\target_h5\target_h5\target_h5_G1_price_only_elastic_net_lag0_e120_p5.joblib
G2_price_technical,elastic_net,0,120,5,0.046435002799499955,0.03301271598421135,0.5118427273065298,0.14869695685003964,17,2461082,188259,artifacts\models\preprocessing_variants\v1_winsor_robustz\target_h5\target_h5\target_h5_G2_price_technical_elastic_net_lag0_e120_p5.joblib
G3_plus_panel_breadth,elastic_net,0,120,5,0.04643198482800861,0.033005747737708625,0.5136540616916058,0.1610772813143725,22,2461082,188259,artifacts\models\preprocessing_variants\v1_winsor_robustz\target_h5\target_h5\target_h5_G3_plus_panel_breadth_elastic_net_lag0_e120_p5.joblib
