feature_group,model_family,lag_window,epochs,patience,rmse,mae,directional_accuracy,sharpe,n_features,n_rows,n_test_total,status,note,artifact_path
G1_price_only,elastic_net,0,120,5,0.02038375113644967,0.014005888138856358,0.5132769216876749,0.15300804418344172,8,2461082,188259,ok,,artifacts\models\preprocessing_variants\v1_winsor_robustz\target_h1\target_h1\target_h1_G1_price_only_elastic_net_lag0_e120_p5.joblib
G1_price_only,ridge,0,120,5,0.020395645014458848,0.01400825774994221,0.5090911988271477,0.06279714370335159,8,2461082,188259,ok,,artifacts\models\preprocessing_variants\v1_winsor_robustz\target_h1\target_h1\target_h1_G1_price_only_ridge_lag0_e120_p5.joblib
G1_price_only,hist_gbr,0,120,5,0.02040799825805634,0.014016302217127727,0.509383349534418,-0.015439146787378273,8,2461082,188259,ok,,artifacts\models\preprocessing_variants\v1_winsor_robustz\target_h1\target_h1\target_h1_G1_price_only_hist_gbr_lag0_e120_p5.joblib
G2_price_technical,elastic_net,0,120,5,0.02038342166402133,0.014005725948016938,0.5136381261984819,0.17014893304804615,17,2461082,188259,ok,,artifacts\models\preprocessing_variants\v1_winsor_robustz\target_h1\target_h1\target_h1_G2_price_technical_elastic_net_lag0_e120_p5.joblib
G2_price_technical,ridge,0,120,5,0.02040267348920771,0.014020281061940457,0.5069717782416777,0.11666701750965242,17,2461082,188259,ok,,artifacts\models\preprocessing_variants\v1_winsor_robustz\target_h1\target_h1\target_h1_G2_price_technical_ridge_lag0_e120_p5.joblib
G2_price_technical,hist_gbr,0,120,5,0.020428084825178803,0.014026660721088031,0.5096967475658535,0.0022993996755264552,17,2461082,188259,ok,,artifacts\models\preprocessing_variants\v1_winsor_robustz\target_h1\target_h1\target_h1_G2_price_technical_hist_gbr_lag0_e120_p5.joblib
G3_plus_panel_breadth,elastic_net,0,120,5,0.020384112042307962,0.014006364516557889,0.5134628357741197,0.1816155097884156,22,2461082,188259,ok,,artifacts\models\preprocessing_variants\v1_winsor_robustz\target_h1\target_h1\target_h1_G3_plus_panel_breadth_elastic_net_lag0_e120_p5.joblib
G3_plus_panel_breadth,ridge,0,120,5,0.02039974125647668,0.014018403666155563,0.510185436021651,0.221085082805514,22,2461082,188259,ok,,artifacts\models\preprocessing_variants\v1_winsor_robustz\target_h1\target_h1\target_h1_G3_plus_panel_breadth_ridge_lag0_e120_p5.joblib
G3_plus_panel_breadth,hist_gbr,0,120,5,0.02038612328486105,0.014033787004346375,0.5051976266738908,0.019398104573368578,22,2461082,188259,ok,,artifacts\models\preprocessing_variants\v1_winsor_robustz\target_h1\target_h1\target_h1_G3_plus_panel_breadth_hist_gbr_lag0_e120_p5.joblib
