model,status,model_family,lag_window,epochs,patience,rmse,mae,directional_accuracy,sharpe,n_features,n_rows,n_test_total,note,artifact_path
Model_A_price_only,ok,elastic_net,0,120,5,0.02038375113644967,0.014005888138856358,0.5132769216876749,0.15300804418344172,8,2461082,188259,best configuration on G1,artifacts\models\preprocessing_variants\v1_winsor_robustz\target_h1\target_h1\target_h1_G1_price_only_elastic_net_lag0_e120_p5.joblib
Model_B_price_full_available,ok,elastic_net,0,120,5,0.020384112042307962,0.014006364516557889,0.5134628357741197,0.1816155097884156,22,2461082,188259,best configuration on G1+G2+G3 panel features,artifacts\models\preprocessing_variants\v1_winsor_robustz\target_h1\target_h1\target_h1_G3_plus_panel_breadth_elastic_net_lag0_e120_p5.joblib
Model_C_sentiment_only,not_run,,0,0,0,,,,,0,0,0,No sentiment features with prefix g5_sent_ were found.,
Model_D_price_shuffled_sentiment,not_run,,0,0,0,,,,,0,0,0,No sentiment features with prefix g5_sent_ were found.,
Model_E_price_lagged_sentiment,not_run,,0,0,0,,,,,0,0,0,No sentiment features with prefix g5_sent_ were found.,
