feature_group,model_family,lag_window,epochs,patience,rmse,mae,directional_accuracy,sharpe,n_features,n_rows,n_test_total,status,note,artifact_path
G1_price_only,elastic_net,0,120,5,0.020386986898514717,0.014009788388960881,0.5125385771729373,0.1417613000865053,8,2461082,188259,ok,,artifacts\models\preprocessing_variants\v5_iqrclip_log_cs_z\target_h1\target_h1\target_h1_G1_price_only_elastic_net_lag0_e120_p5.joblib
G1_price_only,ridge,0,120,5,0.020387928788260245,0.014009579913353576,0.5110193934951317,0.09909276134723662,8,2461082,188259,ok,,artifacts\models\preprocessing_variants\v5_iqrclip_log_cs_z\target_h1\target_h1\target_h1_G1_price_only_ridge_lag0_e120_p5.joblib
G1_price_only,hist_gbr,0,120,5,0.020387486794115905,0.01400912632220832,0.5123154802692036,0.1267296688041378,8,2461082,188259,ok,,artifacts\models\preprocessing_variants\v5_iqrclip_log_cs_z\target_h1\target_h1\target_h1_G1_price_only_hist_gbr_lag0_e120_p5.joblib
G2_price_technical,elastic_net,0,120,5,0.020386986898514717,0.014009788388960881,0.5125385771729373,0.1417613000865053,17,2461082,188259,ok,,artifacts\models\preprocessing_variants\v5_iqrclip_log_cs_z\target_h1\target_h1\target_h1_G2_price_technical_elastic_net_lag0_e120_p5.joblib
G2_price_technical,ridge,0,120,5,0.020388395020665973,0.014011362615495486,0.5108016084224393,0.10908553633015715,17,2461082,188259,ok,,artifacts\models\preprocessing_variants\v5_iqrclip_log_cs_z\target_h1\target_h1\target_h1_G2_price_technical_ridge_lag0_e120_p5.joblib
G2_price_technical,hist_gbr,0,120,5,0.02038907197822227,0.014010584862839189,0.5118161681513235,0.10099403375862546,17,2461082,188259,ok,,artifacts\models\preprocessing_variants\v5_iqrclip_log_cs_z\target_h1\target_h1\target_h1_G2_price_technical_hist_gbr_lag0_e120_p5.joblib
G3_plus_panel_breadth,elastic_net,0,120,5,0.020387021973568235,0.014009890407408495,0.5124748352004419,0.1399951495666351,22,2461082,188259,ok,,artifacts\models\preprocessing_variants\v5_iqrclip_log_cs_z\target_h1\target_h1\target_h1_G3_plus_panel_breadth_elastic_net_lag0_e120_p5.joblib
G3_plus_panel_breadth,ridge,0,120,5,0.02038985204473487,0.014013199581805328,0.508772488964671,0.09001746410892092,22,2461082,188259,ok,,artifacts\models\preprocessing_variants\v5_iqrclip_log_cs_z\target_h1\target_h1\target_h1_G3_plus_panel_breadth_ridge_lag0_e120_p5.joblib
G3_plus_panel_breadth,hist_gbr,0,120,5,0.020394122179389882,0.014017341391180967,0.5096755002416883,0.09426517518643993,22,2461082,188259,ok,,artifacts\models\preprocessing_variants\v5_iqrclip_log_cs_z\target_h1\target_h1\target_h1_G3_plus_panel_breadth_hist_gbr_lag0_e120_p5.joblib
