feature_group,model_family,lag_window,epochs,patience,rmse,mae,directional_accuracy,sharpe,n_features,n_rows,n_test_total,status,note,artifact_path
G1_price_only,elastic_net,0,120,5,0.04638982980178623,0.032973028738177444,0.5200282589411396,0.3105955759828637,8,2461082,188259,ok,,artifacts\models\preprocessing_variants\v4_hampel_ranknorm\target_h5\target_h5\target_h5_G1_price_only_elastic_net_lag0_e120_p5.joblib
G1_price_only,ridge,0,120,5,0.046382419505157556,0.03296812445732595,0.5220201955816189,0.418734631463275,8,2461082,188259,ok,,artifacts\models\preprocessing_variants\v4_hampel_ranknorm\target_h5\target_h5\target_h5_G1_price_only_ridge_lag0_e120_p5.joblib
G1_price_only,hist_gbr,0,120,5,0.04639249367083442,0.03297514238043948,0.5196404952751262,0.30114498903889714,8,2461082,188259,ok,,artifacts\models\preprocessing_variants\v4_hampel_ranknorm\target_h5\target_h5\target_h5_G1_price_only_hist_gbr_lag0_e120_p5.joblib
G2_price_technical,elastic_net,0,120,5,0.04639111782519106,0.0329734363835896,0.5203575924656989,0.3332909508424247,17,2461082,188259,ok,,artifacts\models\preprocessing_variants\v4_hampel_ranknorm\target_h5\target_h5\target_h5_G2_price_technical_elastic_net_lag0_e120_p5.joblib
G2_price_technical,ridge,0,120,5,0.04638354822590453,0.032972424693978944,0.5195448823163833,0.37626277540669195,17,2461082,188259,ok,,artifacts\models\preprocessing_variants\v4_hampel_ranknorm\target_h5\target_h5\target_h5_G2_price_technical_ridge_lag0_e120_p5.joblib
G2_price_technical,hist_gbr,0,120,5,0.0464023155407975,0.032976561050755644,0.5203097859863274,0.323513371539445,17,2461082,188259,ok,,artifacts\models\preprocessing_variants\v4_hampel_ranknorm\target_h5\target_h5\target_h5_G2_price_technical_hist_gbr_lag0_e120_p5.joblib
G3_plus_panel_breadth,elastic_net,0,120,5,0.0463908358200157,0.03297322411517589,0.5206019366935977,0.34264549256996346,22,2461082,188259,ok,,artifacts\models\preprocessing_variants\v4_hampel_ranknorm\target_h5\target_h5\target_h5_G3_plus_panel_breadth_elastic_net_lag0_e120_p5.joblib
G3_plus_panel_breadth,ridge,0,120,5,0.04638301547580402,0.03297204872654958,0.5193324090747321,0.3852282093586637,22,2461082,188259,ok,,artifacts\models\preprocessing_variants\v4_hampel_ranknorm\target_h5\target_h5\target_h5_G3_plus_panel_breadth_ridge_lag0_e120_p5.joblib
G3_plus_panel_breadth,hist_gbr,0,120,5,0.04726133624300397,0.03363809807287492,0.48530481942430376,-0.7218310492174337,22,2461082,188259,ok,,artifacts\models\preprocessing_variants\v4_hampel_ranknorm\target_h5\target_h5\target_h5_G3_plus_panel_breadth_hist_gbr_lag0_e120_p5.joblib
