feature_group,model_family,lag_window,epochs,patience,rmse,mae,directional_accuracy,sharpe,n_features,n_rows,n_test_total,status,note,artifact_path
G1_price_only,elastic_net,0,120,5,0.02037592955624702,0.014002308296773278,0.5133619109843354,0.2596385185922347,8,2461082,188259,ok,,artifacts\models\preprocessing_variants\v2_ema_standardz\target_h1\target_h1\target_h1_G1_price_only_elastic_net_lag0_e120_p5.joblib
G1_price_only,ridge,0,120,5,0.02037629674327678,0.01400370491050639,0.5124482760452356,0.2650139231079779,8,2461082,188259,ok,,artifacts\models\preprocessing_variants\v2_ema_standardz\target_h1\target_h1\target_h1_G1_price_only_ridge_lag0_e120_p5.joblib
G1_price_only,hist_gbr,0,120,5,0.020383493614159014,0.014007903770597917,0.5142755459234353,0.2661979316508943,8,2461082,188259,ok,,artifacts\models\preprocessing_variants\v2_ema_standardz\target_h1\target_h1\target_h1_G1_price_only_hist_gbr_lag0_e120_p5.joblib
G2_price_technical,elastic_net,0,120,5,0.02037592955624702,0.014002308296773278,0.5133619109843354,0.2596385185922347,17,2461082,188259,ok,,artifacts\models\preprocessing_variants\v2_ema_standardz\target_h1\target_h1\target_h1_G2_price_technical_elastic_net_lag0_e120_p5.joblib
G2_price_technical,ridge,0,120,5,0.02039357245338818,0.014035316197637156,0.5045177123006072,0.24463537799233928,17,2461082,188259,ok,,artifacts\models\preprocessing_variants\v2_ema_standardz\target_h1\target_h1\target_h1_G2_price_technical_ridge_lag0_e120_p5.joblib
G2_price_technical,hist_gbr,0,120,5,0.020382570436506483,0.01401413453902107,0.512857287035414,0.2809823980766655,17,2461082,188259,ok,,artifacts\models\preprocessing_variants\v2_ema_standardz\target_h1\target_h1\target_h1_G2_price_technical_hist_gbr_lag0_e120_p5.joblib
G3_plus_panel_breadth,elastic_net,0,120,5,0.02037592955624702,0.014002308296773278,0.5133619109843354,0.2596385185922347,22,2461082,188259,ok,,artifacts\models\preprocessing_variants\v2_ema_standardz\target_h1\target_h1\target_h1_G3_plus_panel_breadth_elastic_net_lag0_e120_p5.joblib
G3_plus_panel_breadth,ridge,0,120,5,0.020388684920746216,0.014031962709952524,0.5051179492082716,0.25562291447802243,22,2461082,188259,ok,,artifacts\models\preprocessing_variants\v2_ema_standardz\target_h1\target_h1\target_h1_G3_plus_panel_breadth_ridge_lag0_e120_p5.joblib
G3_plus_panel_breadth,hist_gbr,0,120,5,0.020322459687418616,0.014001358164588442,0.508581263047185,0.25677281898639664,22,2461082,188259,ok,,artifacts\models\preprocessing_variants\v2_ema_standardz\target_h1\target_h1\target_h1_G3_plus_panel_breadth_hist_gbr_lag0_e120_p5.joblib
